Frame,Total_Faces,Mask,No_Mask,Mask_Percentage
265,3,1,2,33.33
266,11,3,8,27.27
267,9,3,6,33.33
268,2,0,2,0.00
269,4,1,3,25.00
270,3,0,3,0.00
271,5,1,4,20.00
272,3,0,3,0.00
273,3,0,3,0.00
274,4,1,3,25.00
275,3,0,3,0.00
276,4,1,3,25.00
277,3,0,3,0.00
278,3,0,3,0.00
279,6,2,4,33.33
280,5,1,4,20.00
281,5,1,4,20.00
282,4,1,3,25.00
283,3,0,3,0.00
284,3,0,3,0.00
285,4,1,3,25.00
286,4,0,4,0.00
287,4,0,4,0.00
288,4,0,4,0.00
289,3,0,3,0.00
290,3,0,3,0.00
291,5,0,5,0.00
292,5,0,5,0.00
293,7,1,6,14.29
294,6,1,5,16.67
295,5,0,5,0.00
296,5,0,5,0.00
297,5,0,5,0.00
298,6,1,5,16.67
299,5,0,5,0.00
300,5,0,5,0.00
301,3,0,3,0.00
302,4,0,4,0.00
303,4,0,4,0.00
304,5,1,4,20.00
305,7,2,5,28.57
306,7,1,6,14.29
307,7,2,5,28.57
308,5,1,4,20.00
309,5,1,4,20.00
310,6,2,4,33.33
311,5,1,4,20.00
312,5,1,4,20.00
313,6,1,5,16.67
314,6,1,5,16.67
315,8,2,6,25.00
316,6,1,5,16.67
317,7,1,6,14.29
318,6,1,5,16.67
319,6,1,5,16.67
320,12,1,11,8.33
321,13,6,7,46.15
322,5,1,4,20.00
323,5,1,4,20.00
324,5,1,4,20.00
325,4,1,3,25.00
326,10,7,3,70.00
327,4,1,3,25.00
328,5,2,3,40.00
329,9,1,8,11.11
330,6,1,5,16.67
331,5,1,4,20.00
332,5,1,4,20.00
333,5,1,4,20.00
334,9,1,8,11.11
335,10,1,9,10.00
336,6,3,3,50.00
337,7,1,6,14.29
338,5,1,4,20.00
339,8,2,6,25.00
340,5,1,4,20.00
341,6,2,4,33.33
342,5,1,4,20.00
343,5,1,4,20.00
344,4,0,4,0.00
345,4,0,4,0.00
346,4,1,3,25.00
347,3,1,2,33.33
348,4,1,3,25.00
349,4,2,2,50.00
350,6,2,4,33.33
351,3,0,3,0.00
352,3,0,3,0.00
353,3,0,3,0.00
354,3,0,3,0.00
355,2,0,2,0.00
356,3,0,3,0.00
357,3,0,3,0.00
358,6,0,6,0.00
359,5,0,5,0.00
360,6,0,6,0.00
361,3,0,3,0.00
362,6,0,6,0.00
363,3,0,3,0.00
364,6,0,6,0.00
365,5,0,5,0.00
366,9,0,9,0.00
367,7,0,7,0.00
368,5,0,5,0.00
369,3,0,3,0.00
370,3,0,3,0.00
371,5,0,5,0.00
372,4,0,4,0.00
373,5,1,4,20.00
374,5,1,4,20.00
375,4,0,4,0.00
376,3,0,3,0.00
377,3,0,3,0.00
378,3,0,3,0.00
379,3,0,3,0.00
380,2,0,2,0.00
381,3,0,3,0.00
382,3,0,3,0.00
383,3,0,3,0.00
384,3,0,3,0.00
385,3,0,3,0.00
386,2,0,2,0.00
387,2,0,2,0.00
388,2,0,2,0.00
389,2,0,2,0.00
390,2,0,2,0.00
391,2,0,2,0.00
392,2,0,2,0.00
393,3,0,3,0.00
394,2,0,2,0.00
395,2,0,2,0.00
396,2,0,2,0.00
397,2,0,2,0.00
398,3,0,3,0.00
399,2,0,2,0.00
400,2,0,2,0.00
401,2,0,2,0.00
402,3,0,3,0.00
403,3,0,3,0.00
404,3,0,3,0.00
405,4,1,3,25.00
406,4,1,3,25.00
407,3,1,2,33.33
408,3,0,3,0.00
409,3,0,3,0.00
410,4,0,4,0.00
411,3,0,3,0.00
412,3,0,3,0.00
413,3,0,3,0.00
414,3,0,3,0.00
415,4,1,3,25.00
416,4,1,3,25.00
417,4,1,3,25.00
418,4,1,3,25.00
419,5,1,4,20.00
420,6,1,5,16.67
421,4,1,3,25.00
422,4,1,3,25.00
423,4,1,3,25.00
424,4,1,3,25.00
425,5,1,4,20.00
426,4,1,3,25.00
427,4,1,3,25.00
428,5,1,4,20.00
429,3,1,2,33.33
430,2,1,1,50.00
431,2,1,1,50.00
432,2,1,1,50.00
433,5,1,4,20.00
434,4,1,3,25.00
435,4,1,3,25.00
436,3,1,2,33.33
437,2,0,2,0.00
438,2,0,2,0.00
439,2,0,2,0.00
440,2,0,2,0.00
441,2,0,2,0.00
442,2,0,2,0.00
443,2,0,2,0.00
444,2,0,2,0.00
445,2,0,2,0.00
446,2,0,2,0.00
447,2,0,2,0.00
448,1,0,1,0.00
449,3,0,3,0.00
450,2,0,2,0.00
451,3,0,3,0.00
452,2,0,2,0.00
453,2,0,2,0.00
454,2,0,2,0.00
455,2,0,2,0.00
456,2,0,2,0.00
457,2,0,2,0.00
458,3,0,3,0.00
459,3,0,3,0.00
460,3,0,3,0.00
461,3,0,3,0.00
462,3,0,3,0.00
463,3,0,3,0.00
464,3,0,3,0.00
465,3,0,3,0.00
466,2,0,2,0.00
467,3,0,3,0.00
468,3,0,3,0.00
469,3,0,3,0.00
470,3,0,3,0.00
471,3,0,3,0.00
472,3,0,3,0.00
473,2,0,2,0.00
474,2,0,2,0.00
475,3,0,3,0.00
476,3,0,3,0.00
477,3,0,3,0.00
478,3,0,3,0.00
479,4,0,4,0.00
480,3,0,3,0.00
481,3,0,3,0.00
482,3,0,3,0.00
483,3,0,3,0.00
484,3,0,3,0.00
485,3,0,3,0.00
486,3,0,3,0.00
487,2,0,2,0.00
488,3,1,2,33.33
489,2,0,2,0.00
490,2,0,2,0.00
491,2,0,2,0.00
492,2,0,2,0.00
493,2,0,2,0.00
494,2,0,2,0.00
495,2,0,2,0.00
496,2,0,2,0.00
497,2,0,2,0.00
498,2,0,2,0.00
499,1,0,1,0.00
500,2,0,2,0.00
501,2,0,2,0.00
502,2,0,2,0.00
503,2,0,2,0.00
504,2,0,2,0.00
505,2,0,2,0.00
506,2,0,2,0.00
507,2,0,2,0.00
508,2,0,2,0.00
509,2,0,2,0.00
510,2,0,2,0.00
511,2,0,2,0.00
512,2,0,2,0.00
513,2,0,2,0.00
514,2,0,2,0.00
515,2,0,2,0.00
516,2,0,2,0.00
517,2,0,2,0.00
518,1,0,1,0.00
519,2,0,2,0.00
520,2,0,2,0.00
521,2,0,2,0.00
522,3,0,3,0.00
523,3,0,3,0.00
524,3,0,3,0.00
525,3,0,3,0.00
526,2,0,2,0.00
527,2,0,2,0.00
528,2,0,2,0.00
529,2,0,2,0.00
530,2,0,2,0.00
531,2,0,2,0.00
532,2,0,2,0.00
533,2,0,2,0.00
534,2,0,2,0.00
535,2,0,2,0.00
536,3,0,3,0.00
537,3,0,3,0.00
538,2,0,2,0.00
539,3,0,3,0.00
540,3,0,3,0.00
541,2,0,2,0.00
542,3,0,3,0.00
543,2,0,2,0.00
544,2,0,2,0.00
545,2,0,2,0.00
546,2,0,2,0.00
547,2,0,2,0.00
548,2,0,2,0.00
549,2,0,2,0.00
550,2,0,2,0.00
551,2,0,2,0.00
552,2,0,2,0.00
553,2,0,2,0.00
554,2,0,2,0.00
555,2,0,2,0.00
556,2,0,2,0.00
557,1,0,1,0.00
558,2,0,2,0.00
559,2,0,2,0.00
560,3,0,3,0.00
561,2,0,2,0.00
562,2,0,2,0.00
563,2,0,2,0.00
564,2,0,2,0.00
565,2,0,2,0.00
