epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,1155.98,1.36931,1.01042,1.18903,0.33503,0.54753,0.35195,0.19755,1.66422,3.95455,1.55213,0.000511769,0.000511769,0.000511769
37,2301.21,1.35308,0.95702,1.20553,0.3224,0.5758,0.35833,0.20635,1.59409,4.4767,1.5187,0.000478762,0.000478762,0.000478762
38,3512.66,1.36214,0.89033,1.17535,0.34154,0.53873,0.30938,0.17634,1.66149,4.25753,1.54649,0.000445756,0.000445756,0.000445756
39,8462.5,1.33032,0.91191,1.19276,0.3278,0.52039,0.34999,0.20122,1.64181,3.78839,1.55557,0.000412749,0.000412749,0.000412749
40,9671.96,1.31856,0.84523,1.1621,0.33164,0.57231,0.36352,0.21234,1.63163,4.10972,1.53866,0.000379743,0.000379743,0.000379743
41,10940.2,1.29079,0.79854,1.17512,0.33452,0.53321,0.37532,0.23187,1.60246,4.1892,1.5148,0.000346736,0.000346736,0.000346736
42,12229.3,1.29067,0.80341,1.16439,0.34072,0.60096,0.34288,0.19783,1.64404,4.12172,1.54427,0.000313729,0.000313729,0.000313729
43,13423.4,1.26017,0.78763,1.18423,0.34517,0.56512,0.35604,0.20842,1.63679,4.14735,1.55036,0.000280723,0.000280723,0.000280723
44,14774.5,1.25893,0.75694,1.15261,0.32993,0.5765,0.37072,0.22037,1.6027,4.02043,1.53455,0.000247716,0.000247716,0.000247716
45,15930.8,1.24467,0.77561,1.16302,0.33622,0.56807,0.37734,0.22861,1.57547,3.89398,1.49686,0.00021471,0.00021471,0.00021471
46,18837.1,1.21025,0.72941,1.13159,0.34363,0.57719,0.3793,0.22691,1.60925,4.14812,1.54709,0.000181703,0.000181703,0.000181703
47,22054.4,1.228,0.75326,1.13215,0.32689,0.57446,0.35987,0.21792,1.56799,3.82992,1.50426,0.000148696,0.000148696,0.000148696
48,23196.8,1.21084,0.71857,1.13342,0.3236,0.57017,0.36469,0.22121,1.58651,4.36809,1.51812,0.00011569,0.00011569,0.00011569
49,24360.3,1.19105,0.70248,1.12752,0.32461,0.56802,0.36586,0.21792,1.60543,4.16197,1.52977,8.26832e-05,8.26832e-05,8.26832e-05
50,25500.8,1.17358,0.70408,1.11453,0.32932,0.57017,0.36405,0.22145,1.5896,4.14981,1.50492,4.96766e-05,4.96766e-05,4.96766e-05
